Phi[deg],Theta[deg],dB(DirTotal)
34,2,8.43647
36,2,8.43624
38,2,8.436
40,2,8.43574
42,2,8.43548
44,2,8.4352
46,2,8.43492
48,2,8.43463
50,2,8.43432
52,2,8.43402
54,2,8.4337
56,2,8.43338
58,2,8.43305
60,2,8.43272
62,2,8.43238
64,2,8.43204
66,2,8.4317
68,2,8.43136
70,2,8.43102
72,2,8.43067
74,2,8.43033
76,2,8.42999
78,2,8.42964
80,2,8.4293
82,2,8.42897
84,2,8.42863
86,2,8.42831
88,2,8.42798
90,2,8.42766
92,2,8.42735
94,2,8.42704
96,2,8.42674
98,2,8.42644
100,2,8.42615
102,2,8.42587
104,2,8.4256
106,2,8.42533
108,2,8.42507
110,2,8.42482
112,2,8.42458
114,2,8.42435
116,2,8.42413
118,2,8.42391
120,2,8.42371
122,2,8.42351
124,2,8.42332
126,2,8.42314
128,2,8.42297
130,2,8.42281
132,2,8.42265
134,2,8.42251
136,2,8.42237
138,2,8.42224
140,2,8.42212
142,2,8.42201
144,2,8.4219
146,2,8.4218
148,2,8.42171
150,2,8.42163
152,2,8.42155
154,2,8.42148
156,2,8.42142
158,2,8.42136
160,2,8.42131
162,2,8.42126
164,2,8.42122
166,2,8.42119
168,2,8.42116
170,2,8.42113
172,2,8.42111
174,2,8.4211
176,2,8.42109
178,2,8.42108
180,2,8.42108
-180,4,8.38154
-178,4,8.38158
-176,4,8.38161
-174,4,8.38164
-172,4,8.38166
-170,4,8.38168
-168,4,8.38169
-166,4,8.38171
-164,4,8.38171
-162,4,8.38172
-160,4,8.38172
-158,4,8.38172
-156,4,8.38172
-154,4,8.38172
-152,4,8.38172
-150,4,8.38172
-148,4,8.38172
-146,4,8.38172
-144,4,8.38173
-142,4,8.38174
-140,4,8.38176
-138,4,8.38178
-136,4,8.38182
-134,4,8.38186
-132,4,8.38191
-130,4,8.38198
-128,4,8.38206
-126,4,8.38215
-124,4,8.38225
-122,4,8.38238
-120,4,8.38252
-118,4,8.38268
-116,4,8.38286
-114,4,8.38306
-112,4,8.38327
-110,4,8.38352
-108,4,8.38378
-106,4,8.38407
-104,4,8.38438
-102,4,8.38472
-100,4,8.38508
-98,4,8.38546
-96,4,8.38587
-94,4,8.38631
-92,4,8.38677
-90,4,8.38726
-88,4,8.38777
-86,4,8.38831
-84,4,8.38887
-82,4,8.38946
-80,4,8.39007
-78,4,8.3907
-76,4,8.39135
-74,4,8.39202
-72,4,8.39272
-70,4,8.39343
-68,4,8.39416
-66,4,8.3949
-64,4,8.39566
-62,4,8.39643
-60,4,8.39721
-58,4,8.398
-56,4,8.3988
-54,4,8.3996
-52,4,8.4004
-50,4,8.40121
-48,4,8.40201
-46,4,8.40282
-44,4,8.40361
-42,4,8.4044
-40,4,8.40517
-38,4,8.40594
-36,4,8.40669
-34,4,8.40742
-32,4,8.40813
-30,4,8.40882
-28,4,8.40949
-26,4,8.41013
-24,4,8.41074
-22,4,8.41133
-20,4,8.41188
-18,4,8.41239
-16,4,8.41287
-14,4,8.41332
-12,4,8.41372
-10,4,8.41408
-8,4,8.41441
-6,4,8.41469
-4,4,8.41492
-2,4,8.41511
0,4,8.41526
2,4,8.41536
4,4,8.41541
6,4,8.41542
8,4,8.41538
10,4,8.41529
12,4,8.41516
14,4,8.41498
16,4,8.41476
18,4,8.41449
20,4,8.41418
22,4,8.41382
24,4,8.41343
26,4,8.41299
28,4,8.41251
30,4,8.412
32,4,8.41145
34,4,8.41087
36,4,8.41025
38,4,8.40961
40,4,8.40893
42,4,8.40823
44,4,8.40751
46,4,8.40677
48,4,8.406
50,4,8.40522
52,4,8.40442
54,4,8.40361
56,4,8.40279
58,4,8.40197
60,4,8.40113
62,4,8.4003
64,4,8.39946
66,4,8.39863
68,4,8.39779
70,4,8.39697
72,4,8.39615
74,4,8.39534
76,4,8.39454
78,4,8.39375
80,4,8.39298
82,4,8.39223
84,4,8.39149
86,4,8.39078
88,4,8.39008
90,4,8.38941
92,4,8.38876
94,4,8.38813
96,4,8.38753
98,4,8.38696
100,4,8.38641
102,4,8.38589
104,4,8.3854
106,4,8.38493
108,4,8.38449
110,4,8.38408
