Phi[deg],Theta[deg],dB(DirTotal)
38,44,4.13529
40,44,4.0442
42,44,3.95174
44,44,3.85904
46,44,3.76726
48,44,3.67758
50,44,3.59117
52,44,3.5091
54,44,3.43236
56,44,3.36178
58,44,3.29802
60,44,3.2415
62,44,3.19244
64,44,3.15083
66,44,3.1164
68,44,3.08872
70,44,3.06716
72,44,3.05097
74,44,3.03932
76,44,3.03132
78,44,3.02612
80,44,3.02288
82,44,3.02088
84,44,3.0195
86,44,3.01823
88,44,3.01675
90,44,3.01487
92,44,3.01257
94,44,3.00998
96,44,3.00737
98,44,3.00518
100,44,3.00394
102,44,3.00431
104,44,3.007
106,44,3.01281
108,44,3.02253
110,44,3.03697
112,44,3.05687
114,44,3.0829
116,44,3.11562
118,44,3.15544
120,44,3.20256
122,44,3.25704
124,44,3.31867
126,44,3.38707
128,44,3.46165
130,44,3.54162
132,44,3.62607
134,44,3.71392
136,44,3.80406
138,44,3.89529
140,44,3.98644
142,44,4.07634
144,44,4.16394
146,44,4.24822
148,44,4.32833
150,44,4.40353
152,44,4.47323
154,44,4.53702
156,44,4.59462
158,44,4.64591
160,44,4.69092
162,44,4.7298
164,44,4.76282
166,44,4.79033
168,44,4.81274
170,44,4.83051
172,44,4.84409
174,44,4.85389
176,44,4.8603
178,44,4.86359
180,44,4.86397
-180,46,4.59696
-178,46,4.59468
-176,46,4.58982
-174,46,4.58219
-172,46,4.57147
-170,46,4.55724
-168,46,4.53898
-166,46,4.51616
-164,46,4.4882
-162,46,4.45457
-160,46,4.41478
-158,46,4.36844
-156,46,4.31528
-154,46,4.25514
-152,46,4.18802
-150,46,4.11409
-148,46,4.03368
-146,46,3.9473
-144,46,3.85563
-142,46,3.75949
-140,46,3.65989
-138,46,3.55794
-136,46,3.45489
-134,46,3.35205
-132,46,3.25077
-130,46,3.15242
-128,46,3.05831
-126,46,2.96962
-124,46,2.88742
-122,46,2.81253
-120,46,2.74557
-118,46,2.68688
-116,46,2.63652
-114,46,2.59429
-112,46,2.55974
-110,46,2.53221
-108,46,2.51089
-106,46,2.49486
-104,46,2.48314
-102,46,2.47475
-100,46,2.46877
-98,46,2.46436
-96,46,2.46079
-94,46,2.45751
-92,46,2.45412
-90,46,2.45039
-88,46,2.44629
-86,46,2.44198
-84,46,2.4378
-82,46,2.43428
-80,46,2.43211
-78,46,2.43212
-76,46,2.43524
-74,46,2.4425
-72,46,2.45495
-70,46,2.47363
-68,46,2.49948
-66,46,2.53332
-64,46,2.57578
-62,46,2.62723
-60,46,2.68778
-58,46,2.75725
-56,46,2.83514
-54,46,2.9207
-52,46,3.01292
-50,46,3.11062
-48,46,3.21244
-46,46,3.31699
-44,46,3.42283
-42,46,3.52856
-40,46,3.63286
-38,46,3.73453
-36,46,3.83251
-34,46,3.92588
-32,46,4.01391
-30,46,4.09603
-28,46,4.17186
-26,46,4.24115
-24,46,4.30383
-22,46,4.35995
-20,46,4.40971
-18,46,4.45338
-16,46,4.49133
-14,46,4.524
-12,46,4.55183
-10,46,4.57529
-8,46,4.59481
-6,46,4.61077
-4,46,4.62348
-2,46,4.63314
0,46,4.63982
2,46,4.64349
4,46,4.64397
6,46,4.64098
8,46,4.63413
10,46,4.62295
12,46,4.6069
14,46,4.58546
16,46,4.55807
18,46,4.52426
20,46,4.48361
22,46,4.43581
24,46,4.38068
26,46,4.31816
28,46,4.2484
30,46,4.17166
32,46,4.08842
34,46,3.99929
36,46,3.90507
38,46,3.80672
40,46,3.70533
42,46,3.60211
44,46,3.49836
46,46,3.39547
48,46,3.29482
50,46,3.19779
52,46,3.10566
54,46,3.01961
56,46,2.94064
58,46,2.86953
60,46,2.80679
62,46,2.75267
64,46,2.70712
66,46,2.66983
68,46,2.64025
70,46,2.61762
72,46,2.60102
74,46,2.58946
76,46,2.58188
78,46,2.57727
80,46,2.57467
82,46,2.57324
84,46,2.57225
86,46,2.57116
88,46,2.56959
90,46,2.56736
92,46,2.56444
94,46,2.56102
96,46,2.55743
98,46,2.55417
100,46,2.55188
102,46,2.55132
104,46,2.55333
106,46,2.55883
108,46,2.56877
110,46,2.58408
112,46,2.60565
114,46,2.63428
116,46,2.67061
118,46,2.71513
120,46,2.76811
122,46,2.82957
124,46,2.89929
126,46,2.9768
128,46,3.06138
130,46,3.15209
132,46,3.24782
134,46,3.34728
136,46,3.44915
138,46,3.552
140,46,3.65445
142,46,3.75516
144,46,3.85287
146,46,3.94644
148,46,4.03489
150,46,4.11742
152,46,4.19338
154,46,4.26234
156,46,4.32404
158,46,4.37842
160,46,4.42558
162,46,4.46578
164,46,4.49941
166,46,4.52696
168,46,4.549
170,46,4.56613
172,46,4.57895
174,46,4.58801
176,46,4.5938
178,46,4.5967
180,46,4.59696
-180,48,4.32148
-178,48,4.31945
-176,48,4.31523
-174,48,4.30858
-172,48,4.29908
-170,48,4.28617
-168,48,4.26921
-166,48,4.24747
-164,48,4.22024
-162,48,4.1868
-160,48,4.14651
-158,48,4.09884
-156,48,4.04339
-154,48,3.97991
-152,48,3.90834
-150,48,3.8288
-148,48,3.74162
-146,48,3.64731
-144,48,3.54662
-142,48,3.44046
-140,48,3.32995
-138,48,3.21637
-136,48,3.10114
-134,48,2.98578
-132,48,2.87188
-130,48,2.76105
-128,48,2.65481
-126,48,2.55461
-124,48,2.4617
-122,48,2.37708
-120,48,2.3015
-118,48,2.23536
-116,48,2.17875
-114,48,2.13144
-112,48,2.09289
-110,48,2.06236
-108,48,2.03888
-106,48,2.02139
-104,48,2.00877
-102,48,1.99989
-100,48,1.99371
-98,48,1.98927
-96,48,1.98577
-94,48,1.98258
-92,48,1.97924
-90,48,1.97551
-88,48,1.97136
-86,48,1.96694
-84,48,1.96263
-82,48,1.959
-80,48,1.95682
-78,48,1.95701
-76,48,1.96061
-74,48,1.96879
-72,48,1.98273
-70,48,2.00362
-68,48,2.03254
-66,48,2.07045
-64,48,2.11807
-62,48,2.17585
-60,48,2.2439
-58,48,2.32199
-56,48,2.40955
-54,48,2.50568
-52,48,2.60917
-50,48,2.71861
-48,48,2.83244
-46,48,2.949
-44,48,3.06662
-42,48,3.1837
-40,48,3.29873
-38,48,3.41035
-36,48,3.51737
-34,48,3.61879
-32,48,3.71382
-30,48,3.80188
-28,48,3.88258
-26,48,3.95571
-24,48,4.02125
-22,48,4.07934
-20,48,4.13026
-18,48,4.17442
-16,48,4.21231
-14,48,4.24449
-12,48,4.27156
-10,48,4.29413
-8,48,4.31276
-6,48,4.32795
-4,48,4.3401
-2,48,4.34949
0,48,4.35623
2,48,4.36028
4,48,4.36146
6,48,4.35941
8,48,4.35363
10,48,4.34354
12,48,4.32847
14,48,4.30772
16,48,4.28061
18,48,4.24649
20,48,4.20482
22,48,4.15514
24,48,4.09718
26,48,4.03081
28,48,3.95611
30,48,3.87333
32,48,3.78296
34,48,3.68565
36,48,3.58227
38,48,3.4739
40,48,3.36176
42,48,3.24724
44,48,3.13184
46,48,3.01716
48,48,2.90481
50,48,2.79641
52,48,2.69348
54,48,2.59743
56,48,2.50941
58,48,2.43037
60,48,2.3609
62,48,2.30129
64,48,2.25146
66,48,2.21104
68,48,2.17933
70,48,2.15544
72,48,2.13828
74,48,2.12665
76,48,2.11935
78,48,2.11519
80,48,2.11308
82,48,2.11204
84,48,2.11129
86,48,2.11021
88,48,2.10841
90,48,2.10569
92,48,2.10205
94,48,2.09771
96,48,2.09307
98,48,2.08871
100,48,2.08537
102,48,2.08391
104,48,2.0853
106,48,2.09061
108,48,2.10092
110,48,2.1173
112,48,2.1408
114,48,2.17233
116,48,2.21266
118,48,2.26236
120,48,2.32173
122,48,2.39081
124,48,2.46933
126,48,2.55672
128,48,2.65211
130,48,2.75439
132,48,2.86223
134,48,2.97413
136,48,3.08849
138,48,3.20367
140,48,3.31804
142,48,3.43005
144,48,3.53827
146,48,3.6414
148,48,3.73835
150,48,3.82822
152,48,3.91034
154,48,3.98426
156,48,4.04976
158,48,4.10684
160,48,4.1557
162,48,4.1967
164,48,4.2304
166,48,4.25744
168,48,4.27857
170,48,4.29456
172,48,4.30617
174,48,4.31413
176,48,4.31904
178,48,4.32138
180,48,4.32148
-180,50,4.03779
-178,50,4.03608
-176,50,4.03269
-174,50,4.02731
-172,50,4.01941
-170,50,4.0083
-168,50,3.99315
-166,50,3.97307
-164,50,3.94714
-162,50,3.91447
-160,50,3.87425
-158,50,3.82577
-156,50,3.76851
-154,50,3.70211
-152,50,3.62641
-150,50,3.54149
-148,50,3.44765
-146,50,3.34544
-144,50,3.23563
-142,50,3.11924
-140,50,2.9975
-138,50,2.87186
-136,50,2.74391
-134,50,2.61541
-132,50,2.48819
-130,50,2.36412
-128,50,2.24499
-126,50,2.13249
-124,50,2.0281
-122,50,1.93303
-120,50,1.84813
-118,50,1.77392
-116,50,1.71049
-114,50,1.65759
-112,50,1.61459
-110,50,1.58063
-108,50,1.55461
-106,50,1.53531
-104,50,1.52146
-102,50,1.51181
-100,50,1.50518
-98,50,1.50052
-96,50,1.49695
-94,50,1.49376
-92,50,1.49047
-90,50,1.48681
-88,50,1.48273
-86,50,1.4784
-84,50,1.47422
-82,50,1.4708
-80,50,1.46897
-78,50,1.46972
-76,50,1.47421
-74,50,1.48373
-72,50,1.49959
-70,50,1.52313
-68,50,1.5556
-66,50,1.59806
-64,50,1.65136
-62,50,1.71601
-60,50,1.79214
-58,50,1.8795
-56,50,1.97739
-54,50,2.08475
-52,50,2.20019
-50,50,2.32205
-48,50,2.44852
-46,50,2.57766
-44,50,2.70759
-42,50,2.83644
-40,50,2.96253
-38,50,3.08433
-36,50,3.20052
-34,50,3.31002
-32,50,3.412
-30,50,3.50584
-28,50,3.59117
-26,50,3.66782
-24,50,3.73585
-22,50,3.79547
-20,50,3.84708
-18,50,3.89121
-16,50,3.9285
-14,50,3.95966
-12,50,3.98544
-10,50,4.00662
-8,50,4.02391
-6,50,4.03794
-4,50,4.04923
-2,50,4.05813
0,50,4.06481
2,50,4.06925
4,50,4.07122
6,50,4.07029
8,50,4.06586
10,50,4.05722
12,50,4.04354
14,50,4.02394
16,50,3.99758
18,50,3.96363
20,50,3.92138
22,50,3.87025
24,50,3.80984
26,50,3.73992
28,50,3.66051
30,50,3.57184
32,50,3.47437
34,50,3.36882
36,50,3.25613
38,50,3.13745
40,50,3.01419
42,50,2.88788
44,50,2.76025
46,50,2.63313
48,50,2.50839
50,50,2.38791
52,50,2.27347
54,50,2.1667
56,50,2.06899
58,50,1.98141
60,50,1.90469
62,50,1.83912
64,50,1.78463
66,50,1.74073
68,50,1.70661
70,50,1.6812
72,50,1.66323
74,50,1.65131
76,50,1.64404
78,50,1.64009
80,50,1.63822
82,50,1.63735
84,50,1.63662
86,50,1.63536
88,50,1.63315
90,50,1.6298
92,50,1.62534
94,50,1.62003
96,50,1.61434
98,50,1.60893
100,50,1.60461
102,50,1.60238
104,50,1.60333
106,50,1.60865
108,50,1.61957
110,50,1.63732
112,50,1.66308
114,50,1.69791
116,50,1.74269
118,50,1.79808
120,50,1.86443
122,50,1.94178
124,50,2.02981
126,50,2.12784
128,50,2.23485
130,50,2.34952
132,50,2.47029
134,50,2.5954
136,50,2.72298
138,50,2.85112
140,50,2.97797
142,50,3.10173
144,50,3.22078
146,50,3.33367
148,50,3.43919
150,50,3.53638
152,50,3.62451
154,50,3.70315
156,50,3.77212
158,50,3.83148
160,50,3.88155
162,50,3.92284
164,50,3.95606
166,50,3.98205
168,50,4.00172
170,50,4.01607
172,50,4.02604
174,50,4.03252
176,50,4.03628
178,50,4.03791
180,50,4.03779
-180,52,3.74634
-178,52,3.745
-176,52,3.7426
-174,52,3.73875
-172,52,3.7328
-170,52,3.72391
-168,52,3.71106
-166,52,3.69316
-164,52,3.66908
-162,52,3.63773
-160,52,3.5981
-158,52,3.54933
-156,52,3.49072
-154,52,3.42179
-152,52,3.3423
-150,52,3.25227
-148,52,3.15195
-146,52,3.0419
-144,52,2.92295
-142,52,2.79618
-140,52,2.66296
-138,52,2.52488
-136,52,2.38376
-134,52,2.24156
-132,52,2.1004
-130,52,1.9624
-128,52,1.82966
-126,52,1.70413
-124,52,1.58755
-122,52,1.48131
-120,52,1.38645
-118,52,1.30354
-116,52,1.23271
-114,52,1.17367
-112,52,1.12571
-110,52,1.08784
-108,52,1.05882
-106,52,1.03728
-104,52,1.0218
-102,52,1.01101
-100,52,1.0036
-98,52,0.998455
-96,52,0.994605
-94,52,0.991307
-92,52,0.988037
-90,52,0.984503
-88,52,0.980645
-86,52,0.976641
-84,52,0.972906
-82,52,0.970082
-80,52,0.969035
-78,52,0.970833
-76,52,0.976722
-74,52,0.988087
-72,52,1.00639
-70,52,1.0331
-68,52,1.06962
-66,52,1.11715
-64,52,1.17666
-62,52,1.24873
-60,52,1.33352
-58,52,1.43072
-56,52,1.53955
-54,52,1.65877
-52,52,1.78679
-50,52,1.92168
-48,52,2.06134
-46,52,2.2036
-44,52,2.34626
-42,52,2.48726
-40,52,2.62469
-38,52,2.75685
-36,52,2.88232
-34,52,2.99991
-32,52,3.10875
-30,52,3.20821
-28,52,3.29793
-26,52,3.37781
-24,52,3.44796
-22,52,3.5087
-20,52,3.56055
-18,52,3.60417
-16,52,3.64035
-14,52,3.66998
-12,52,3.69399
-10,52,3.7133
-8,52,3.72881
-6,52,3.74131
-4,52,3.75143
-2,52,3.75963
0,52,3.76613
2,52,3.77092
4,52,3.77375
6,52,3.7741
8,52,3.77128
10,52,3.7644
12,52,3.75248
14,52,3.73446
16,52,3.70928
18,52,3.67595
20,52,3.63357
22,52,3.5814
24,52,3.5189
26,52,3.44576
28,52,3.3619
30,52,3.2675
32,52,3.16303
34,52,3.04923
36,52,2.92709
38,52,2.7979
40,52,2.66318
42,52,2.52467
44,52,2.3843
46,52,2.24415
48,52,2.10637
50,52,1.97312
52,52,1.84647
54,52,1.72831
56,52,1.62025
58,52,1.52354
60,52,1.43901
62,52,1.36701
64,52,1.3074
66,52,1.25964
68,52,1.22275
70,52,1.19547
72,52,1.17634
74,52,1.16379
76,52,1.15623
78,52,1.15216
80,52,1.1502
82,52,1.1492
84,52,1.1482
86,52,1.14652
88,52,1.14372
90,52,1.13961
92,52,1.13427
94,52,1.12799
96,52,1.1213
98,52,1.11495
100,52,1.10985
102,52,1.10707
104,52,1.10785
106,52,1.11349
108,52,1.12537
110,52,1.14487
112,52,1.17332
114,52,1.21191
116,52,1.26165
118,52,1.32329
120,52,1.39724
122,52,1.48353
124,52,1.58179
126,52,1.69121
128,52,1.81062
130,52,1.93847
132,52,2.07293
134,52,2.21197
136,52,2.35343
138,52,2.49512
140,52,2.63492
142,52,2.77079
144,52,2.90093
146,52,3.02373
148,52,3.13785
150,52,3.24227
152,52,3.33623
154,52,3.41931
156,52,3.49139
158,52,3.55262
160,52,3.60343
162,52,3.64451
164,52,3.67673
166,52,3.70113
168,52,3.71885
170,52,3.73108
172,52,3.73898
174,52,3.74365
176,52,3.74599
178,52,3.74673
180,52,3.74634
-180,54,3.44778
-178,54,3.44684
-176,54,3.44555
-174,54,3.44344
-172,54,3.43973
-170,54,3.43342
-168,54,3.42328
-166,54,3.40801
-164,54,3.38626
-162,54,3.35672
-160,54,3.31817
-158,54,3.26956
-156,54,3.21004
-154,54,3.13898
-152,54,3.05605
-150,54,2.96116
-148,54,2.85456
-146,54,2.73679
-144,54,2.60871
-142,54,2.47148
-140,54,2.32659
-138,54,2.1758
-136,54,2.0211
-134,54,1.86474
-132,54,1.70908
-130,54,1.55656
-128,54,1.40956
-126,54,1.27034
-124,54,1.14089
-122,54,1.02284
-120,54,0.917376
-118,54,0.825163
-116,54,0.746356
-114,54,0.68061
-112,54,0.627142
-110,54,0.584821
-108,54,0.552268
-106,54,0.527967
-104,54,0.510366
-102,54,0.497964
-100,54,0.489377
-98,54,0.483395
-96,54,0.479008
-94,54,0.475435
-92,54,0.472126
-90,54,0.468774
-88,54,0.465311
-86,54,0.461914
-84,54,0.459001
-82,54,0.457229
-80,54,0.457493
-78,54,0.460908
-76,54,0.468789
-74,54,0.482612
-72,54,0.503954
-70,54,0.534423
-68,54,0.575556
-66,54,0.628712
-64,54,0.694962
-62,54,0.77498
-60,54,0.868956
-58,54,0.976548
-56,54,1.09687
-54,54,1.22851
-52,54,1.36964
-50,54,1.51808
-48,54,1.67144
-46,54,1.82725
-44,54,1.98304
-42,54,2.13649
-40,54,2.28549
-38,54,2.42817
-36,54,2.56298
-34,54,2.68866
-32,54,2.80427
-30,54,2.9092
-28,54,3.0031
-26,54,3.08593
-24,54,3.15788
-22,54,3.21937
-20,54,3.27105
-18,54,3.31373
-16,54,3.34836
-14,54,3.37601
-12,54,3.39778
-10,54,3.4148
-8,54,3.42814
-6,54,3.43875
-4,54,3.44742
-2,54,3.4547
0,54,3.46089
2,54,3.466
4,54,3.46973
6,54,3.4715
8,54,3.47049
10,54,3.46565
12,54,3.45581
14,54,3.43972
16,54,3.41612
18,54,3.3838
20,54,3.34168
22,54,3.28885
24,54,3.22462
26,54,3.14856
28,54,3.0605
30,54,2.96057
32,54,2.84921
34,54,2.72718
36,54,2.59555
38,54,2.45568
40,54,2.30924
42,54,2.15817
44,54,2.00461
46,54,1.8509
48,54,1.6995
50,54,1.55285
52,54,1.41334
54,54,1.28313
56,54,1.16409
58,54,1.05765
60,54,0.964756
62,54,0.885795
64,54,0.820607
66,54,0.768516
68,54,0.728409
70,54,0.698833
72,54,0.678119
74,54,0.664493
76,54,0.656194
78,54,0.651562
80,54,0.649115
82,54,0.647595
84,54,0.646007
86,54,0.643633
88,54,0.640034
90,54,0.635048
92,54,0.628777
94,54,0.621574
96,54,0.614029
98,54,0.606945
100,54,0.601326
102,54,0.598348
104,54,0.599336
106,54,0.605727
108,54,0.61903
110,54,0.640764
112,54,0.672402
114,54,0.715287
116,54,0.770553
118,54,0.83904
120,54,0.921217
122,54,1.01712
124,54,1.12631
126,54,1.24786
128,54,1.38041
130,54,1.52217
132,54,1.67103
134,54,1.82465
136,54,1.98058
138,54,2.13632
140,54,2.28946
142,54,2.43775
144,54,2.57916
146,54,2.71193
148,54,2.83463
150,54,2.94615
152,54,3.04573
154,54,3.13297
156,54,3.20781
158,54,3.27051
160,54,3.32164
162,54,3.36204
164,54,3.39278
166,54,3.41513
168,54,3.43043
170,54,3.44012
172,54,3.44559
174,54,3.44811
176,54,3.4488
178,54,3.44851
180,54,3.44778
-180,56,3.14294
-178,56,3.14241
-176,56,3.14231
-174,56,3.14209
-172,56,3.14084
-170,56,3.13737
-168,56,3.13027
-166,56,3.11799
-164,56,3.09895
-162,56,3.07162
-160,56,3.03456
-158,56,2.98652
-156,56,2.92647
-154,56,2.85364
-152,56,2.76758
-150,56,2.66812
-148,56,2.55544
-146,56,2.43009
-144,56,2.29293
-142,56,2.14522
-140,56,1.98854
-138,56,1.8248
-136,56,1.65624
-134,56,1.48532
-132,56,1.3147
-130,56,1.14712
-128,56,0.985304
-126,56,0.831806
-124,56,0.688903
-122,56,0.558453
-120,56,0.441799
-118,56,0.339707
-116,56,0.252347
-114,56,0.179326
-112,56,0.119765
-110,56,0.0724003
-108,56,0.0357142
-106,56,0.00805269
-104,56,-0.0122584
-102,56,-0.0268198
-100,56,-0.0370878
-98,56,-0.0443255
-96,56,-0.0495729
-94,56,-0.0536329
-92,56,-0.0570649
-90,56,-0.0601855
-88,56,-0.0630687
-86,56,-0.0655468
-84,56,-0.0672083
-82,56,-0.0673973
-80,56,-0.0652132
-78,56,-0.059518
-76,56,-0.0489534
-74,56,-0.0319759
-72,56,-0.00691127
-70,56,0.0279657
-68,56,0.0743283
-66,56,0.133676
-64,56,0.207205
-62,56,0.29568
-60,56,0.399332
-58,56,0.517793
-56,56,0.650074
-54,56,0.794604
-52,56,0.949311
-50,56,1.11174
-48,56,1.27921
-46,56,1.44893
-44,56,1.61816
-42,56,1.78432
-40,56,1.94508
-38,56,2.0984
-36,56,2.2426
-34,56,2.37635
-32,56,2.49867
-30,56,2.60893
-28,56,2.70684
-26,56,2.79238
-24,56,2.86586
-22,56,2.9278
-20,56,2.97897
-18,56,3.02035
-16,56,3.05306
-14,56,3.07833
-12,56,3.0975
-10,56,3.11186
-8,56,3.12269
-6,56,3.13111
-4,56,3.13808
-2,56,3.14425
0,56,3.15001
2,56,3.15537
4,56,3.16002
6,56,3.1633
8,56,3.16424
10,56,3.16165
12,56,3.15415
14,56,3.14028
16,56,3.11856
18,56,3.08758
20,56,3.04604
22,56,2.99288
24,56,2.92723
26,56,2.84852
28,56,2.7565
30,56,2.65123
32,56,2.53312
34,56,2.40293
36,56,2.26178
38,56,2.11112
40,56,1.95277
42,56,1.78883
44,56,1.6217
46,56,1.45398
48,56,1.28842
50,56,1.1278
52,56,0.974828
54,56,0.831969
56,56,0.701348
58,56,0.584604
60,56,0.482794
62,56,0.396348
64,56,0.325059
66,56,0.268138
68,56,0.224302
70,56,0.191903
72,56,0.169065
74,56,0.15382
76,56,0.144236
78,56,0.138515
80,56,0.135071
82,56,0.13258
84,56,0.130012
86,56,0.126638
88,56,0.122032
90,56,0.116058
92,56,0.10886
94,56,0.100838
96,56,0.0926363
98,56,0.085123
100,56,0.0793709
102,56,0.0766374
104,56,0.0783392
106,56,0.08602
108,56,0.101307
110,56,0.125854
112,56,0.161274
114,56,0.209051
116,56,0.270446
118,56,0.346402
120,56,0.437445
122,56,0.543614
124,56,0.664411
126,56,0.798783
128,56,0.945155
130,56,1.10149
132,56,1.26538
134,56,1.43416
136,56,1.60505
138,56,1.77524
140,56,1.94204
142,56,2.10295
144,56,2.25574
146,56,2.39851
148,56,2.5297
150,56,2.64817
152,56,2.75315
154,56,2.84427
156,56,2.92155
158,56,2.98537
160,56,3.03644
162,56,3.07577
164,56,3.10465
166,56,3.12455
168,56,3.13707
170,56,3.14388
172,56,3.14659
174,56,3.14672
176,56,3.14555
178,56,3.14407
180,56,3.14294
-180,58,2.83287
-178,58,2.83272
-176,58,2.83384
-174,58,2.83558
-172,58,2.83692
-170,58,2.83647
-168,58,2.83261
-166,58,2.82356
-164,58,2.80751
-162,58,2.78267
-160,58,2.74741
-158,58,2.70026
-156,58,2.64
-154,58,2.56571
-152,58,2.47679
-150,58,2.37301
-148,58,2.25447
-146,58,2.12168
-144,58,1.97554
-142,58,1.81736
-140,58,1.64881
-138,58,1.47199
-136,58,1.28933
-134,58,1.10354
-132,58,0.917585
-130,58,0.734527
-128,58,0.557421
-126,58,0.389152
-124,58,0.232286
-122,58,0.0889176
-120,58,-0.0394423
-118,58,-0.151942
-116,58,-0.248402
-114,58,-0.32927
-112,58,-0.39553
-110,58,-0.448575
-108,58,-0.490058
-106,58,-0.521759
-104,58,-0.545454
-102,58,-0.562817
-100,58,-0.575352
-98,58,-0.584346
-96,58,-0.590846
-94,58,-0.595654
-92,58,-0.599325
-90,58,-0.602175
-88,58,-0.604284
-86,58,-0.605498
-84,58,-0.605427
-82,58,-0.603435
-80,58,-0.598641
-78,58,-0.589912
-76,58,-0.575879
-74,58,-0.554959
-72,58,-0.525411
-70,58,-0.48541
-68,58,-0.433162
-66,58,-0.367034
-64,58,-0.285701
-62,58,-0.188298
-60,58,-0.0745407
-58,58,0.055189
-56,58,0.199814
-54,58,0.357598
-52,58,0.526237
-50,58,0.702999
-48,58,0.884888
-46,58,1.06881
-44,58,1.25173
-42,58,1.4308
-40,58,1.60347
-38,58,1.76753
-36,58,1.92118
-34,58,2.06299
-32,58,2.19196
-30,58,2.30746
-28,58,2.40922
-26,58,2.49732
-24,58,2.57211
-22,58,2.63427
-20,58,2.68469
-18,58,2.7245
-16,58,2.755
-14,58,2.77762
-12,58,2.79387
-10,58,2.8053
-8,58,2.81335
-6,58,2.81935
-4,58,2.82441
-2,58,2.82932
0,58,2.83453
2,58,2.84009
4,58,2.84566
6,58,2.85048
8,58,2.85348
10,58,2.85326
12,58,2.84826
14,58,2.8368
16,58,2.81718
18,58,2.78776
20,58,2.74705
22,58,2.69379
24,58,2.62695
26,58,2.54583
28,58,2.45006
30,58,2.33962
32,58,2.21488
34,58,2.07661
36,58,1.92595
38,58,1.76444
40,58,1.59403
42,58,1.41701
44,58,1.23599
46,58,1.05387
48,58,0.873712
50,58,0.698627
52,58,0.531657
54,58,0.375601
56,58,0.232853
58,58,0.105259
60,58,-0.0059989
62,58,-0.100461
64,58,-0.178387
66,58,-0.240693
68,58,-0.288836
70,58,-0.324665
72,58,-0.350261
74,58,-0.367775
76,58,-0.379296
78,58,-0.386738
80,58,-0.39177
82,58,-0.395757
84,58,-0.399746
86,58,-0.404457
88,58,-0.41029
90,58,-0.417343
92,58,-0.425432
94,58,-0.434107
96,58,-0.442678
98,58,-0.450225
100,58,-0.45562
102,58,-0.457546
104,58,-0.454514
106,58,-0.444892
108,58,-0.426954
110,58,-0.398924
112,58,-0.359061
114,58,-0.305743
116,58,-0.237583
118,58,-0.153531
120,58,-0.0529971
122,58,0.0640657
124,58,0.197096
126,58,0.344906
128,58,0.50571
130,58,0.677199
132,58,0.856652
134,58,1.04107
136,58,1.22732
138,58,1.41229
140,58,1.59297
142,58,1.76664
144,58,1.93085
146,58,2.08356
148,58,2.22315
150,58,2.3484
152,58,2.45856
154,58,2.55332
156,58,2.63277
158,58,2.69741
160,58,2.74812
162,58,2.7861
164,58,2.81283
166,58,2.83
168,58,2.83948
170,58,2.84316
172,58,2.8429
174,58,2.84043
176,58,2.83724
178,58,2.83447
180,58,2.83287
-180,60,2.5188
-178,60,2.51898
-176,60,2.52128
-174,60,2.52499
-172,60,2.52893
-170,60,2.53154
-168,60,2.53099
-166,60,2.52528
-164,60,2.51235
-162,60,2.49019
-160,60,2.45691
-158,60,2.41086
-156,60,2.35061
-154,60,2.27509
-152,60,2.18357
-150,60,2.07567
-148,60,1.95146
-146,60,1.81139
-144,60,1.65637
-142,60,1.48775
-140,60,1.30733
-138,60,1.11733
-136,60,0.9204
-134,60,0.719518
-132,60,0.517942
-130,60,0.319073
-128,60,0.126313
-126,60,-0.057117
-124,60,-0.228352
-122,60,-0.385057
-120,60,-0.525561
-118,60,-0.648932
-116,60,-0.754995
-114,60,-0.844264
-112,60,-0.917835
-110,60,-0.97723
-108,60,-1.02423
-106,60,-1.06072
-104,60,-1.08855
-102,60,-1.10945
-100,60,-1.12492
-98,60,-1.13625
-96,60,-1.14447
-94,60,-1.15034
-92,60,-1.15439
-90,60,-1.15695
-88,60,-1.15808
-86,60,-1.15766
-84,60,-1.15533
-82,60,-1.15049
-80,60,-1.14232
-78,60,-1.12972
-76,60,-1.11134
-74,60,-1.08561
-72,60,-1.05074
-70,60,-1.00484
-68,60,-0.946016
-66,60,-0.872511
-64,60,-0.782871
-62,60,-0.676119
-60,60,-0.551903
-58,60,-0.4106
-56,60,-0.253359
-54,60,-0.0820677
-52,60,0.100746
-50,60,0.292072
-48,60,0.488603
-46,60,0.686931
-44,60,0.883721
-42,60,1.07586
-40,60,1.26056
-38,60,1.43545
-36,60,1.59858
-34,60,1.74847
-32,60,1.88407
-30,60,2.00476
-28,60,2.11031
-26,60,2.20085
-24,60,2.27685
-22,60,2.33908
-20,60,2.38859
-18,60,2.42665
-16,60,2.45477
-14,60,2.47455
-12,60,2.48772
-10,60,2.49602
-8,60,2.50113
-6,60,2.50455
-4,60,2.50756
-2,60,2.51109
0,60,2.51567
2,60,2.52137
4,60,2.52783
6,60,2.53419
8,60,2.53925
10,60,2.54145
12,60,2.53902
14,60,2.53005
16,60,2.51263
18,60,2.48489
20,60,2.44514
22,60,2.39192
24,60,2.32405
26,60,2.24066
28,60,2.14129
30,60,2.02582
32,60,1.89457
34,60,1.74828
36,60,1.58814
38,60,1.41576
40,60,1.23319
42,60,1.04291
44,60,0.847777
46,60,0.650951
48,60,0.45582
50,60,0.265852
52,60,0.0844429
54,60,-0.0852773
